Date,M1 Money Supply 
2010-01-01,5.11E+11
2010-02-01,5.09E+11
2010-03-01,5.06E+11
2010-04-01,5.17E+11
2010-05-01,5.28E+11
2010-06-01,5.36E+11
2010-07-01,5.39E+11
2010-08-01,5.37E+11
2010-09-01,5.42E+11
2010-10-01,5.47E+11
2010-11-01,5.50E+11
2010-12-01,5.64E+11
2011-01-01,5.55E+11
2011-02-01,5.48E+11
2011-03-01,5.46E+11
2011-04-01,5.54E+11
2011-05-01,5.59E+11
2011-06-01,5.72E+11
2011-07-01,5.75E+11
2011-08-01,5.75E+11
2011-09-01,5.89E+11
2011-10-01,5.97E+11
2011-11-01,5.98E+11
2011-12-01,6.10E+11
2012-01-01,6.08E+11
2012-02-01,6.01E+11
2012-03-01,5.98E+11
2012-04-01,6.13E+11
2012-05-01,6.22E+11
2012-06-01,6.35E+11
2012-07-01,6.39E+11
2012-08-01,6.38E+11
2012-09-01,6.38E+11
2012-10-01,6.39E+11
2012-11-01,6.47E+11
2012-12-01,6.61E+11
2013-01-01,6.50E+11
2013-02-01,6.54E+11
2013-03-01,6.58E+11
2013-04-01,6.66E+11
2013-05-01,6.68E+11
2013-06-01,6.80E+11
2013-07-01,6.82E+11
2013-08-01,6.85E+11
2013-09-01,6.89E+11
2013-10-01,6.94E+11
2013-11-01,7.04E+11
2013-12-01,7.20E+11
2014-01-01,7.15E+11
2014-02-01,7.05E+11
2014-03-01,7.05E+11
2014-04-01,7.11E+11
2014-05-01,7.19E+11
2014-06-01,7.28E+11
2014-07-01,7.31E+11
2014-08-01,7.36E+11
2014-09-01,7.42E+11
2014-10-01,7.50E+11
2014-11-01,7.54E+11
2014-12-01,7.69E+11
2015-01-01,7.56E+11
2015-02-01,7.54E+11
2015-03-01,7.54E+11
2015-04-01,7.66E+11
2015-05-01,7.72E+11
2015-06-01,7.83E+11
2015-07-01,7.95E+11
2015-08-01,8.00E+11
2015-09-01,8.09E+11
2015-10-01,8.11E+11
2015-11-01,8.18E+11
2015-12-01,8.32E+11
2016-01-01,8.25E+11
2016-02-01,8.21E+11
2016-03-01,8.18E+11
2016-04-01,8.29E+11
2016-05-01,8.37E+11
2016-06-01,8.46E+11
2016-07-01,8.62E+11
2016-08-01,8.65E+11
2016-09-01,8.78E+11
2016-10-01,8.86E+11
2016-11-01,8.94E+11
2016-12-01,9.12E+11
2017-01-01,9.09E+11
2017-02-01,8.96E+11
2017-03-01,9.01E+11
2017-04-01,9.22E+11
2017-05-01,9.34E+11
2017-06-01,9.44E+11
2017-07-01,9.48E+11
2017-08-01,9.46E+11
2017-09-01,9.51E+11
2017-10-01,9.57E+11
2017-11-01,9.60E+11
2017-12-01,9.82E+11
2018-01-01,9.64E+11
2018-02-01,9.58E+11
2018-03-01,9.59E+11
2018-04-01,9.71E+11
2018-05-01,9.70E+11
2018-06-01,9.82E+11
2018-07-01,9.83E+11
2018-08-01,9.86E+11
2018-09-01,9.94E+11
2018-10-01,9.96E+11
2018-11-01,1.00E+12
2018-12-01,1.03E+12
2019-01-01,1.01E+12
2019-02-01,9.94E+11
2019-03-01,9.94E+11
2019-04-01,1.01E+12
2019-05-01,1.02E+12
2019-06-01,1.03E+12
2019-07-01,1.04E+12
