DATE,MABMM301CAA189S
1970-01-01,39711916666.6667
1971-01-01,43936916666.666695
1972-01-01,50205750000.0
1973-01-01,58138750000.0
1974-01-01,72724416666.6667
1975-01-01,83622083333.3333
1976-01-01,99309083333.3333
1977-01-01,116253250000.0
1978-01-01,133783750000.0
1979-01-01,159691666666.667
1980-01-01,186627166666.667
1981-01-01,211829500000.0
1982-01-01,220999750000.0
1983-01-01,225736416666.667
1984-01-01,234668583333.333
1985-01-01,250812666666.66702
1986-01-01,271510416666.66702
1987-01-01,301182500000.0
1988-01-01,328170500000.0
1989-01-01,368349000000.0
1990-01-01,407230833333.333
1991-01-01,433248583333.333
1992-01-01,454632916666.667
1993-01-01,474501666666.667
1994-01-01,493259000000.0
1995-01-01,518187083333.333
1996-01-01,546761916666.66705
1997-01-01,572582666666.667
1998-01-01,593228833333.333
1999-01-01,614942250000.0
2000-01-01,661828000000.0
2001-01-01,698379333333.334
2002-01-01,739894500000.0
2003-01-01,784076666666.666
2004-01-01,855037416666.667
2005-01-01,939107000000.0
2006-01-01,1009245500000.0
2007-01-01,1119641916666.6702
2008-01-01,1251705916666.67
2009-01-01,1291900000000.0
2010-01-01,1362051250000.0
2011-01-01,1462121083333.33
2012-01-01,1560360583333.3298
2013-01-01,1662610750000.0
2014-01-01,1800223750000.0
2015-01-01,1934303833333.33
2016-01-01,2101331166666.67
2017-01-01,2232141500000.0
2018-01-01,2342905500000.0
